Rank,Title,Rating,Episodes,Dates
75,Kono Subarashii Sekai ni Shukufuku wo! 2,8.26,TV (10 eps),Jan 2017 - Mar 2017
76,Fate/Zero,8.28,TV (13 eps),Oct 2011 - Dec 2011
77,Spy x Family,8.56,TV (12 eps),Apr 2022 - Jun 2022
78,Kakegurui,7.24,TV (12 eps),Jul 2017 - Sep 2017
79,Vinland Saga,8.75,TV (24 eps),Jul 2019 - Dec 2019
80,Fullmetal Alchemist,8.11,TV (51 eps),Oct 2003 - Oct 2004
81,Noragami Aragoto,8.15,TV (13 eps),Oct 2015 - Dec 2015
82,Chainsaw Man,8.53,TV (12 eps),Oct 2022 - Dec 2022
83,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.00,TV (13 eps),Apr 2013 - Jun 2013
84,High School DxD,7.33,TV (12 eps),Jan 2012 - Mar 2012
85,Ansatsu Kyoushitsu 2nd Season,8.49,TV (25 eps),Jan 2016 - Jul 2016
86,Haikyuu!! Second Season,8.63,TV (25 eps),Oct 2015 - Mar 2016
87,Tensei shitara Slime Datta Ken,8.14,TV (24 eps),Oct 2018 - Mar 2019
88,Clannad,7.99,TV (23 eps),Oct 2007 - Mar 2008
89,Durarara!!,8.10,TV (24 eps),Jan 2010 - Jun 2010
90,Bakemonogatari,8.33,TV (15 eps),Jul 2009 - Jun 2010
91,Kimetsu no Yaiba: Yuukaku-hen,8.77,TV (11 eps),Dec 2021 - Feb 2022
92,Bungou Stray Dogs,7.82,TV (12 eps),Apr 2016 - Jun 2016
93,Hyouka,8.07,TV (22 eps),Apr 2012 - Sep 2012
94,Made in Abyss,8.65,TV (13 eps),Jul 2017 - Sep 2017
95,Chuunibyou demo Koi ga Shitai!,7.70,TV (12 eps),Oct 2012 - Dec 2012
96,Horimiya,8.20,TV (13 eps),Jan 2021 - Apr 2021
97,Owari no Seraph,7.49,TV (12 eps),Apr 2015 - Jun 2015
98,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.63,TV (12 eps),Apr 2020 - Jun 2020
99,Howl no Ugoku Shiro,8.66,Movie (1 eps),Nov 2004 - Nov 2004
100,Enen no Shouboutai,7.71,TV (24 eps),Jul 2019 - Dec 2019
Rank,Title,Rating,Episodes,Dates
101,Mahou Shoujo Madoka★Magica,8.36,TV (12 eps),Jan 2011 - Apr 2011
102,Mushoku Tensei: Isekai Ittara Honki Dasu,8.37,TV (11 eps),Jan 2021 - Mar 2021
103,Shingeki no Kyojin: The Final Season Part 2,8.77,TV (12 eps),Jan 2022 - Apr 2022
104,Sakura-sou no Pet na Kanojo,8.07,TV (24 eps),Oct 2012 - Mar 2013
105,Kaichou wa Maid-sama!,8.00,TV (26 eps),Apr 2010 - Sep 2010
106,Mononoke Hime,8.66,Movie (1 eps),Jul 1997 - Jul 1997
107,Deadman Wonderland,7.14,TV (12 eps),Apr 2011 - Jul 2011
108,Samurai Champloo,8.51,TV (26 eps),May 2004 - Mar 2005
109,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,7.86,TV (12 eps),Jul 2017 - Sep 2017
110,Tokyo Revengers,7.95,TV (24 eps),Apr 2021 - Sep 2021
111,Kobayashi-san Chi no Maid Dragon,7.95,TV (13 eps),Jan 2017 - Apr 2017
112,Dragon Ball Z,8.17,TV (291 eps),Apr 1989 - Jan 1996
113,Guilty Crown,7.41,TV (22 eps),Oct 2011 - Mar 2012
114,Dororo,8.25,TV (24 eps),Jan 2019 - Jun 2019
115,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.10,TV (24 eps),Apr 2014 - Sep 2014
116,Kuroko no Basket,8.06,TV (25 eps),Apr 2012 - Sep 2012
117,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.78,TV (10 eps),Oct 2016 - Dec 2016
118,Clannad: After Story,8.93,TV (24 eps),Oct 2008 - Mar 2009
119,Kuroshitsuji,7.66,TV (24 eps),Oct 2008 - Mar 2009
120,Tokyo Ghoul:re,6.37,TV (12 eps),Apr 2018 - Jun 2018
121,Nisekoi,7.57,TV (20 eps),Jan 2014 - May 2014
122,Kyoukai no Kanata,7.72,TV (12 eps),Oct 2013 - Dec 2013
123,Boku no Hero Academia 5th Season,7.38,TV (25 eps),Mar 2021 - Sep 2021
124,Zankyou no Terror,8.09,TV (11 eps),Jul 2014 - Sep 2014
125,Devilman: Crybaby,7.75,ONA (10 eps),Jan 2018 - Jan 2018
126,Shokugeki no Souma: Ni no Sara,8.08,TV (13 eps),Jul 2016 - Sep 2016
127,Nanatsu no Taizai: Imashime no Fukkatsu,7.57,TV (24 eps),Jan 2018 - Jun 2018
128,Ouran Koukou Host Club,8.16,TV (26 eps),Apr 2006 - Sep 2006
129,Log Horizon,7.92,TV (25 eps),Oct 2013 - Mar 2014
130,Fate/Zero 2nd Season,8.55,TV (12 eps),Apr 2012 - Jun 2012
131,Goblin Slayer,7.42,TV (12 eps),Oct 2018 - Dec 2018
132,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,TV (39 eps),Apr 2016 - Dec 2016
133,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.44,TV (24 eps),Jan 2015 - Jun 2015
134,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.33,TV (13 eps),Jul 2020 - Sep 2020
135,Monster,8.88,TV (74 eps),Apr 2004 - Sep 2005
136,Saiki Kusuo no Ψ-nan,8.41,TV (120 eps),Jul 2016 - Dec 2016
137,Tonari no Kaibutsu-kun,7.47,TV (13 eps),Oct 2012 - Dec 2012
138,Fate/stay night: Unlimited Blade Works,8.18,TV (12 eps),Oct 2014 - Dec 2014
139,Gintama,8.94,TV (201 eps),Apr 2006 - Mar 2010
140,Mahouka Koukou no Rettousei,7.40,TV (26 eps),Apr 2014 - Sep 2014
141,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.21,TV (13 eps),Apr 2015 - Jun 2015
142,Tonari no Totoro,8.25,Movie (1 eps),Apr 1988 - Apr 1988
143,K-On!,7.86,TV (13 eps),Apr 2009 - Jun 2009
144,Magi: The Labyrinth of Magic,8.01,TV (25 eps),Oct 2012 - Mar 2013
145,Sword Art Online: Alicization,7.56,TV (24 eps),Oct 2018 - Mar 2019
146,Golden Time,7.74,TV (24 eps),Oct 2013 - Mar 2014
